date,team1,team2,score1,score2,time,game_type,text_content
"Tuesday, March 18, 2025",Los Angeles Dodgers,Chicago Cubs,4,1,,,Los Angeles Dodgers (4) @ Chicago Cubs (1) Boxscore
"Wednesday, March 19, 2025",Los Angeles Dodgers,Chicago Cubs,6,3,,,Los Angeles Dodgers (6) @ Chicago Cubs (3) Boxscore
"Thursday, March 27, 2025",Chicago Cubs,Arizona D'Backs,10,6,,,Chicago Cubs (10) @ Arizona D'Backs (6) Boxscore
"Thursday, March 27, 2025",Los Angeles Angels,Chicago White Sox,1,8,,,Los Angeles Angels (1) @ Chicago White Sox (8) Boxscore
"Thursday, March 27, 2025",San Francisco Giants,Cincinnati Reds,6,4,,,San Francisco Giants (6) @ Cincinnati Reds (4) Boxscore
"Thursday, March 27, 2025",New York Mets,Houston Astros,1,3,,,New York Mets (1) @ Houston Astros (3) Boxscore
"Thursday, March 27, 2025",Cleveland Guardians,Kansas City Royals,7,4,,,Cleveland Guardians (7) @ Kansas City Royals (4) Boxscore
"Thursday, March 27, 2025",Detroit Tigers,Los Angeles Dodgers,4,5,,,Detroit Tigers (4) @ Los Angeles Dodgers (5) Boxscore
"Thursday, March 27, 2025",Pittsburgh Pirates,Miami Marlins,4,5,,,Pittsburgh Pirates (4) @ Miami Marlins (5) Boxscore
"Thursday, March 27, 2025",Milwaukee Brewers,New York Yankees,2,4,,,Milwaukee Brewers (2) @ New York Yankees (4) Boxscore
"Thursday, March 27, 2025",Atlanta Braves,San Diego Padres,4,7,,,Atlanta Braves (4) @ San Diego Padres (7) Boxscore
"Thursday, March 27, 2025",Athletics,Seattle Mariners,2,4,,,Athletics (2) @ Seattle Mariners (4) Boxscore
"Thursday, March 27, 2025",Minnesota Twins,St. Louis Cardinals,3,5,,,Minnesota Twins (3) @ St. Louis Cardinals (5) Boxscore
"Thursday, March 27, 2025",Boston Red Sox,Texas Rangers,5,2,,,Boston Red Sox (5) @ Texas Rangers (2) Boxscore
"Thursday, March 27, 2025",Baltimore Orioles,Toronto Blue Jays,12,2,,,Baltimore Orioles (12) @ Toronto Blue Jays (2) Boxscore
"Thursday, March 27, 2025",Philadelphia Phillies,Washington Nationals,7,3,,,Philadelphia Phillies (7) @ Washington Nationals (3) Boxscore
"Friday, March 28, 2025",Chicago Cubs,Arizona D'Backs,1,8,,,Chicago Cubs (1) @ Arizona D'Backs (8) Boxscore
"Friday, March 28, 2025",New York Mets,Houston Astros,3,1,,,New York Mets (3) @ Houston Astros (1) Boxscore
"Friday, March 28, 2025",Detroit Tigers,Los Angeles Dodgers,5,8,,,Detroit Tigers (5) @ Los Angeles Dodgers (8) Boxscore
"Friday, March 28, 2025",Pittsburgh Pirates,Miami Marlins,4,3,,,Pittsburgh Pirates (4) @ Miami Marlins (3) Boxscore
"Friday, March 28, 2025",Atlanta Braves,San Diego Padres,3,4,,,Atlanta Braves (3) @ San Diego Padres (4) Boxscore
"Friday, March 28, 2025",Athletics,Seattle Mariners,7,0,,,Athletics (7) @ Seattle Mariners (0) Boxscore
"Friday, March 28, 2025",Colorado Rockies,Tampa Bay Rays,2,3,,,Colorado Rockies (2) @ Tampa Bay Rays (3) Boxscore
"Friday, March 28, 2025",Boston Red Sox,Texas Rangers,1,4,,,Boston Red Sox (1) @ Texas Rangers (4) Boxscore
"Friday, March 28, 2025",Baltimore Orioles,Toronto Blue Jays,2,8,,,Baltimore Orioles (2) @ Toronto Blue Jays (8) Boxscore
"Saturday, March 29, 2025",Chicago Cubs,Arizona D'Backs,4,3,,,Chicago Cubs (4) @ Arizona D'Backs (3) Boxscore
"Saturday, March 29, 2025",Los Angeles Angels,Chicago White Sox,1,0,,,Los Angeles Angels (1) @ Chicago White Sox (0) Boxscore
"Saturday, March 29, 2025",San Francisco Giants,Cincinnati Reds,2,3,,,San Francisco Giants (2) @ Cincinnati Reds (3) Boxscore
"Saturday, March 29, 2025",New York Mets,Houston Astros,1,2,,,New York Mets (1) @ Houston Astros (2) Boxscore
"Saturday, March 29, 2025",Cleveland Guardians,Kansas City Royals,3,4,,,Cleveland Guardians (3) @ Kansas City Royals (4) Boxscore
"Saturday, March 29, 2025",Detroit Tigers,Los Angeles Dodgers,3,7,,,Detroit Tigers (3) @ Los Angeles Dodgers (7) Boxscore
"Saturday, March 29, 2025",Pittsburgh Pirates,Miami Marlins,4,5,,,Pittsburgh Pirates (4) @ Miami Marlins (5) Boxscore
"Saturday, March 29, 2025",Milwaukee Brewers,New York Yankees,9,20,,,Milwaukee Brewers (9) @ New York Yankees (20) Boxscore
"Saturday, March 29, 2025",Atlanta Braves,San Diego Padres,0,1,,,Atlanta Braves (0) @ San Diego Padres (1) Boxscore
"Saturday, March 29, 2025",Athletics,Seattle Mariners,4,2,,,Athletics (4) @ Seattle Mariners (2) Boxscore
"Saturday, March 29, 2025",Minnesota Twins,St. Louis Cardinals,1,5,,,Minnesota Twins (1) @ St. Louis Cardinals (5) Boxscore
"Saturday, March 29, 2025",Colorado Rockies,Tampa Bay Rays,2,1,,,Colorado Rockies (2) @ Tampa Bay Rays (1) Boxscore
"Saturday, March 29, 2025",Boston Red Sox,Texas Rangers,3,4,,,Boston Red Sox (3) @ Texas Rangers (4) Boxscore
"Saturday, March 29, 2025",Baltimore Orioles,Toronto Blue Jays,9,5,,,Baltimore Orioles (9) @ Toronto Blue Jays (5) Boxscore
"Saturday, March 29, 2025",Philadelphia Phillies,Washington Nationals,11,6,,,Philadelphia Phillies (11) @ Washington Nationals (6) Boxscore
"Sunday, March 30, 2025",Chicago Cubs,Arizona D'Backs,6,10,,,Chicago Cubs (6) @ Arizona D'Backs (10) Boxscore
"Sunday, March 30, 2025",Los Angeles Angels,Chicago White Sox,3,2,,,Los Angeles Angels (3) @ Chicago White Sox (2) Boxscore
"Sunday, March 30, 2025",San Francisco Giants,Cincinnati Reds,6,3,,,San Francisco Giants (6) @ Cincinnati Reds (3) Boxscore
"Sunday, March 30, 2025",Cleveland Guardians,Kansas City Royals,6,2,,,Cleveland Guardians (6) @ Kansas City Royals (2) Boxscore
"Sunday, March 30, 2025",Pittsburgh Pirates,Miami Marlins,2,3,,,Pittsburgh Pirates (2) @ Miami Marlins (3) Boxscore
"Sunday, March 30, 2025",Milwaukee Brewers,New York Yankees,3,12,,,Milwaukee Brewers (3) @ New York Yankees (12) Boxscore
"Sunday, March 30, 2025",Atlanta Braves,San Diego Padres,0,5,,,Atlanta Braves (0) @ San Diego Padres (5) Boxscore
"Sunday, March 30, 2025",Athletics,Seattle Mariners,1,2,,,Athletics (1) @ Seattle Mariners (2) Boxscore
"Sunday, March 30, 2025",Minnesota Twins,St. Louis Cardinals,2,9,,,Minnesota Twins (2) @ St. Louis Cardinals (9) Boxscore
"Sunday, March 30, 2025",Colorado Rockies,Tampa Bay Rays,4,6,,,Colorado Rockies (4) @ Tampa Bay Rays (6) Boxscore
"Sunday, March 30, 2025",Boston Red Sox,Texas Rangers,2,3,,,Boston Red Sox (2) @ Texas Rangers (3) Boxscore
"Sunday, March 30, 2025",Baltimore Orioles,Toronto Blue Jays,1,3,,,Baltimore Orioles (1) @ Toronto Blue Jays (3) Boxscore
"Sunday, March 30, 2025",Philadelphia Phillies,Washington Nationals,1,5,,,Philadelphia Phillies (1) @ Washington Nationals (5) Boxscore
"Monday, March 31, 2025",Chicago Cubs,Athletics,18,3,,,Chicago Cubs (18) @ Athletics (3) Boxscore
"Monday, March 31, 2025",Boston Red Sox,Baltimore Orioles,5,8,,,Boston Red Sox (5) @ Baltimore Orioles (8) Boxscore
"Monday, March 31, 2025",Minnesota Twins,Chicago White Sox,0,9,,,Minnesota Twins (0) @ Chicago White Sox (9) Boxscore
"Monday, March 31, 2025",Texas Rangers,Cincinnati Reds,3,14,,,Texas Rangers (3) @ Cincinnati Reds (14) Boxscore
"Monday, March 31, 2025",San Francisco Giants,Houston Astros,7,2,,,San Francisco Giants (7) @ Houston Astros (2) Boxscore
"Monday, March 31, 2025",Atlanta Braves,Los Angeles Dodgers,1,6,,,Atlanta Braves (1) @ Los Angeles Dodgers (6) Boxscore
"Monday, March 31, 2025",New York Mets,Miami Marlins,10,4,,,New York Mets (10) @ Miami Marlins (4) Boxscore
"Monday, March 31, 2025",Kansas City Royals,Milwaukee Brewers,11,1,,,Kansas City Royals (11) @ Milwaukee Brewers (1) Boxscore
"Monday, March 31, 2025",Colorado Rockies,Philadelphia Phillies,1,6,,,Colorado Rockies (1) @ Philadelphia Phillies (6) Boxscore
"Monday, March 31, 2025",Cleveland Guardians,San Diego Padres,2,7,,,Cleveland Guardians (2) @ San Diego Padres (7) Boxscore
"Monday, March 31, 2025",Detroit Tigers,Seattle Mariners,9,6,,,Detroit Tigers (9) @ Seattle Mariners (6) Boxscore
"Monday, March 31, 2025",Los Angeles Angels,St. Louis Cardinals,5,4,,,Los Angeles Angels (5) @ St. Louis Cardinals (4) Boxscore
"Monday, March 31, 2025",Pittsburgh Pirates,Tampa Bay Rays,1,6,,,Pittsburgh Pirates (1) @ Tampa Bay Rays (6) Boxscore
"Monday, March 31, 2025",Washington Nationals,Toronto Blue Jays,2,5,,,Washington Nationals (2) @ Toronto Blue Jays (5) Boxscore
"Tuesday, April 1, 2025",Chicago Cubs,Athletics,7,4,,,Chicago Cubs (7) @ Athletics (4) Boxscore
"Tuesday, April 1, 2025",Minnesota Twins,Chicago White Sox,8,3,,,Minnesota Twins (8) @ Chicago White Sox (3) Boxscore
"Tuesday, April 1, 2025",Texas Rangers,Cincinnati Reds,1,0,,,Texas Rangers (1) @ Cincinnati Reds (0) Boxscore
"Tuesday, April 1, 2025",San Francisco Giants,Houston Astros,3,1,,,San Francisco Giants (3) @ Houston Astros (1) Boxscore
"Tuesday, April 1, 2025",Atlanta Braves,Los Angeles Dodgers,1,3,,,Atlanta Braves (1) @ Los Angeles Dodgers (3) Boxscore
"Tuesday, April 1, 2025",New York Mets,Miami Marlins,2,4,,,New York Mets (2) @ Miami Marlins (4) Boxscore
"Tuesday, April 1, 2025",Kansas City Royals,Milwaukee Brewers,0,5,,,Kansas City Royals (0) @ Milwaukee Brewers (5) Boxscore
"Tuesday, April 1, 2025",Arizona D'Backs,New York Yankees,7,5,,,Arizona D'Backs (7) @ New York Yankees (5) Boxscore
"Tuesday, April 1, 2025",Cleveland Guardians,San Diego Padres,0,7,,,Cleveland Guardians (0) @ San Diego Padres (7) Boxscore
"Tuesday, April 1, 2025",Detroit Tigers,Seattle Mariners,4,1,,,Detroit Tigers (4) @ Seattle Mariners (1) Boxscore
"Tuesday, April 1, 2025",Los Angeles Angels,St. Louis Cardinals,9,7,,,Los Angeles Angels (9) @ St. Louis Cardinals (7) Boxscore
"Tuesday, April 1, 2025",Pittsburgh Pirates,Tampa Bay Rays,0,7,,,Pittsburgh Pirates (0) @ Tampa Bay Rays (7) Boxscore
"Tuesday, April 1, 2025",Washington Nationals,Toronto Blue Jays,3,5,,,Washington Nationals (3) @ Toronto Blue Jays (5) Boxscore
"Wednesday, April 2, 2025",Chicago Cubs,Athletics,10,2,,,Chicago Cubs (10) @ Athletics (2) Boxscore
"Wednesday, April 2, 2025",Boston Red Sox,Baltimore Orioles,3,0,,,Boston Red Sox (3) @ Baltimore Orioles (0) Boxscore
"Wednesday, April 2, 2025",Minnesota Twins,Chicago White Sox,6,1,,,Minnesota Twins (6) @ Chicago White Sox (1) Boxscore
"Wednesday, April 2, 2025",Texas Rangers,Cincinnati Reds,1,0,,,Texas Rangers (1) @ Cincinnati Reds (0) Boxscore
"Wednesday, April 2, 2025",San Francisco Giants,Houston Astros,6,3,,,San Francisco Giants (6) @ Houston Astros (3) Boxscore
"Wednesday, April 2, 2025",Atlanta Braves,Los Angeles Dodgers,5,6,,,Atlanta Braves (5) @ Los Angeles Dodgers (6) Boxscore
"Wednesday, April 2, 2025",New York Mets,Miami Marlins,6,5,,,New York Mets (6) @ Miami Marlins (5) Boxscore
"Wednesday, April 2, 2025",Kansas City Royals,Milwaukee Brewers,2,3,,,Kansas City Royals (2) @ Milwaukee Brewers (3) Boxscore
"Wednesday, April 2, 2025",Arizona D'Backs,New York Yankees,4,3,,,Arizona D'Backs (4) @ New York Yankees (3) Boxscore
"Wednesday, April 2, 2025",Colorado Rockies,Philadelphia Phillies,1,5,,,Colorado Rockies (1) @ Philadelphia Phillies (5) Boxscore
"Wednesday, April 2, 2025",Cleveland Guardians,San Diego Padres,2,5,,,Cleveland Guardians (2) @ San Diego Padres (5) Boxscore
"Wednesday, April 2, 2025",Detroit Tigers,Seattle Mariners,2,3,,,Detroit Tigers (2) @ Seattle Mariners (3) Boxscore
"Wednesday, April 2, 2025",Los Angeles Angels,St. Louis Cardinals,5,12,,,Los Angeles Angels (5) @ St. Louis Cardinals (12) Boxscore
"Wednesday, April 2, 2025",Pittsburgh Pirates,Tampa Bay Rays,4,2,,,Pittsburgh Pirates (4) @ Tampa Bay Rays (2) Boxscore
"Wednesday, April 2, 2025",Washington Nationals,Toronto Blue Jays,2,4,,,Washington Nationals (2) @ Toronto Blue Jays (4) Boxscore
"Thursday, April 3, 2025",Boston Red Sox,Baltimore Orioles,8,4,,,Boston Red Sox (8) @ Baltimore Orioles (4) Boxscore
"Thursday, April 3, 2025",Cincinnati Reds,Milwaukee Brewers,0,1,,,Cincinnati Reds (0) @ Milwaukee Brewers (1) Boxscore
"Thursday, April 3, 2025",Houston Astros,Minnesota Twins,5,2,,,Houston Astros (5) @ Minnesota Twins (2) Boxscore
"Thursday, April 3, 2025",Arizona D'Backs,New York Yankees,7,9,,,Arizona D'Backs (7) @ New York Yankees (9) Boxscore
"Thursday, April 3, 2025",Colorado Rockies,Philadelphia Phillies,1,3,,,Colorado Rockies (1) @ Philadelphia Phillies (3) Boxscore
"Friday, April 4, 2025",Cleveland Guardians,Los Angeles Angels,8,6,,,Cleveland Guardians (8) @ Los Angeles Angels (6) Boxscore
"Friday, April 4, 2025",Miami Marlins,Atlanta Braves,0,10,,,Miami Marlins (0) @ Atlanta Braves (10) Boxscore
"Friday, April 4, 2025",St. Louis Cardinals,Boston Red Sox,9,13,,,St. Louis Cardinals (9) @ Boston Red Sox (13) Boxscore
"Friday, April 4, 2025",San Diego Padres,Chicago Cubs,1,3,,,San Diego Padres (1) @ Chicago Cubs (3) Boxscore
"Friday, April 4, 2025",Athletics,Colorado Rockies,6,3,,,Athletics (6) @ Colorado Rockies (3) Boxscore
"Friday, April 4, 2025",Chicago White Sox,Detroit Tigers,4,7,,,Chicago White Sox (4) @ Detroit Tigers (7) Boxscore
"Friday, April 4, 2025",Baltimore Orioles,Kansas City Royals,2,8,,,Baltimore Orioles (2) @ Kansas City Royals (8) Boxscore
"Friday, April 4, 2025",Cincinnati Reds,Milwaukee Brewers,2,3,,,Cincinnati Reds (2) @ Milwaukee Brewers (3) Boxscore
"Friday, April 4, 2025",Toronto Blue Jays,New York Mets,0,5,,,Toronto Blue Jays (0) @ New York Mets (5) Boxscore
"Friday, April 4, 2025",Los Angeles Dodgers,Philadelphia Phillies,2,3,,,Los Angeles Dodgers (2) @ Philadelphia Phillies (3) Boxscore
"Friday, April 4, 2025",New York Yankees,Pittsburgh Pirates,9,4,,,New York Yankees (9) @ Pittsburgh Pirates (4) Boxscore
"Friday, April 4, 2025",Seattle Mariners,San Francisco Giants,9,10,,,Seattle Mariners (9) @ San Francisco Giants (10) Boxscore
"Friday, April 4, 2025",Tampa Bay Rays,Texas Rangers,2,5,,,Tampa Bay Rays (2) @ Texas Rangers (5) Boxscore
"Friday, April 4, 2025",Arizona D'Backs,Washington Nationals,6,4,,,Arizona D'Backs (6) @ Washington Nationals (4) Boxscore
"Saturday, April 5, 2025",Cleveland Guardians,Los Angeles Angels,4,10,,,Cleveland Guardians (4) @ Los Angeles Angels (10) Boxscore
"Saturday, April 5, 2025",Miami Marlins,Atlanta Braves,4,0,,,Miami Marlins (4) @ Atlanta Braves (0) Boxscore
"Saturday, April 5, 2025",San Diego Padres,Chicago Cubs,1,7,,,San Diego Padres (1) @ Chicago Cubs (7) Boxscore
"Saturday, April 5, 2025",Athletics,Colorado Rockies,7,4,,,Athletics (7) @ Colorado Rockies (4) Boxscore
"Saturday, April 5, 2025",Chicago White Sox,Detroit Tigers,2,7,,,Chicago White Sox (2) @ Detroit Tigers (7) Boxscore
"Saturday, April 5, 2025",Baltimore Orioles,Kansas City Royals,8,1,,,Baltimore Orioles (8) @ Kansas City Royals (1) Boxscore
"Saturday, April 5, 2025",Cincinnati Reds,Milwaukee Brewers,11,7,,,Cincinnati Reds (11) @ Milwaukee Brewers (7) Boxscore
"Saturday, April 5, 2025",Houston Astros,Minnesota Twins,1,6,,,Houston Astros (1) @ Minnesota Twins (6) Boxscore
"Saturday, April 5, 2025",Toronto Blue Jays,New York Mets,2,3,,,Toronto Blue Jays (2) @ New York Mets (3) Boxscore
"Saturday, April 5, 2025",Los Angeles Dodgers,Philadelphia Phillies,3,1,,,Los Angeles Dodgers (3) @ Philadelphia Phillies (1) Boxscore
"Saturday, April 5, 2025",New York Yankees,Pittsburgh Pirates,10,4,,,New York Yankees (10) @ Pittsburgh Pirates (4) Boxscore
"Saturday, April 5, 2025",Seattle Mariners,San Francisco Giants,1,4,,,Seattle Mariners (1) @ San Francisco Giants (4) Boxscore
"Saturday, April 5, 2025",Tampa Bay Rays,Texas Rangers,4,6,,,Tampa Bay Rays (4) @ Texas Rangers (6) Boxscore
"Saturday, April 5, 2025",Arizona D'Backs,Washington Nationals,3,4,,,Arizona D'Backs (3) @ Washington Nationals (4) Boxscore
"Sunday, April 6, 2025",Cleveland Guardians,Los Angeles Angels,2,6,,,Cleveland Guardians (2) @ Los Angeles Angels (6) Boxscore
"Sunday, April 6, 2025",St. Louis Cardinals,Boston Red Sox,4,5,,,St. Louis Cardinals (4) @ Boston Red Sox (5) Boxscore
"Sunday, April 6, 2025",St. Louis Cardinals,Boston Red Sox,7,18,,,St. Louis Cardinals (7) @ Boston Red Sox (18) Boxscore
"Sunday, April 6, 2025",San Diego Padres,Chicago Cubs,8,7,,,San Diego Padres (8) @ Chicago Cubs (7) Boxscore
"Sunday, April 6, 2025",Athletics,Colorado Rockies,5,12,,,Athletics (5) @ Colorado Rockies (12) Boxscore
"Sunday, April 6, 2025",Chicago White Sox,Detroit Tigers,3,4,,,Chicago White Sox (3) @ Detroit Tigers (4) Boxscore
"Sunday, April 6, 2025",Baltimore Orioles,Kansas City Royals,1,4,,,Baltimore Orioles (1) @ Kansas City Royals (4) Boxscore
"Sunday, April 6, 2025",Cincinnati Reds,Milwaukee Brewers,2,8,,,Cincinnati Reds (2) @ Milwaukee Brewers (8) Boxscore
"Sunday, April 6, 2025",Houston Astros,Minnesota Twins,9,7,,,Houston Astros (9) @ Minnesota Twins (7) Boxscore
"Sunday, April 6, 2025",Toronto Blue Jays,New York Mets,1,2,,,Toronto Blue Jays (1) @ New York Mets (2) Boxscore
"Sunday, April 6, 2025",Los Angeles Dodgers,Philadelphia Phillies,7,8,,,Los Angeles Dodgers (7) @ Philadelphia Phillies (8) Boxscore
"Sunday, April 6, 2025",New York Yankees,Pittsburgh Pirates,4,5,,,New York Yankees (4) @ Pittsburgh Pirates (5) Boxscore
"Sunday, April 6, 2025",Seattle Mariners,San Francisco Giants,4,5,,,Seattle Mariners (4) @ San Francisco Giants (5) Boxscore
"Sunday, April 6, 2025",Tampa Bay Rays,Texas Rangers,3,4,,,Tampa Bay Rays (3) @ Texas Rangers (4) Boxscore
"Sunday, April 6, 2025",Arizona D'Backs,Washington Nationals,4,5,,,Arizona D'Backs (4) @ Washington Nationals (5) Boxscore
"Monday, April 7, 2025",Baltimore Orioles,Arizona D'Backs,5,1,,,Baltimore Orioles (5) @ Arizona D'Backs (1) Boxscore
"Monday, April 7, 2025",San Diego Padres,Athletics,5,4,,,San Diego Padres (5) @ Athletics (4) Boxscore
"Monday, April 7, 2025",Toronto Blue Jays,Boston Red Sox,6,2,,,Toronto Blue Jays (6) @ Boston Red Sox (2) Boxscore
"Monday, April 7, 2025",Texas Rangers,Chicago Cubs,0,7,,,Texas Rangers (0) @ Chicago Cubs (7) Boxscore
"Monday, April 7, 2025",New York Yankees,Detroit Tigers,2,6,,,New York Yankees (2) @ Detroit Tigers (6) Boxscore
"Monday, April 7, 2025",Minnesota Twins,Kansas City Royals,2,4,,,Minnesota Twins (2) @ Kansas City Royals (4) Boxscore
"Monday, April 7, 2025",Miami Marlins,New York Mets,0,2,,,Miami Marlins (0) @ New York Mets (2) Boxscore
"Monday, April 7, 2025",St. Louis Cardinals,Pittsburgh Pirates,4,8,,,St. Louis Cardinals (4) @ Pittsburgh Pirates (8) Boxscore
"Monday, April 7, 2025",Houston Astros,Seattle Mariners,3,4,,,Houston Astros (3) @ Seattle Mariners (4) Boxscore
"Monday, April 7, 2025",Cincinnati Reds,San Francisco Giants,2,0,,,Cincinnati Reds (2) @ San Francisco Giants (0) Boxscore
"Monday, April 7, 2025",Los Angeles Dodgers,Washington Nationals,4,6,,,Los Angeles Dodgers (4) @ Washington Nationals (6) Boxscore
"Tuesday, April 8, 2025",Baltimore Orioles,Arizona D'Backs,3,4,,,Baltimore Orioles (3) @ Arizona D'Backs (4) Boxscore
"Tuesday, April 8, 2025",San Diego Padres,Athletics,4,10,,,San Diego Padres (4) @ Athletics (10) Boxscore
"Tuesday, April 8, 2025",Philadelphia Phillies,Atlanta Braves,5,7,,,Philadelphia Phillies (5) @ Atlanta Braves (7) Boxscore
"Tuesday, April 8, 2025",Toronto Blue Jays,Boston Red Sox,6,1,,,Toronto Blue Jays (6) @ Boston Red Sox (1) Boxscore
"Tuesday, April 8, 2025",Texas Rangers,Chicago Cubs,6,10,,,Texas Rangers (6) @ Chicago Cubs (10) Boxscore
"Tuesday, April 8, 2025",Chicago White Sox,Cleveland Guardians,0,1,,,Chicago White Sox (0) @ Cleveland Guardians (1) Boxscore
"Tuesday, April 8, 2025",Milwaukee Brewers,Colorado Rockies,7,1,,,Milwaukee Brewers (7) @ Colorado Rockies (1) Boxscore
"Tuesday, April 8, 2025",New York Yankees,Detroit Tigers,0,5,,,New York Yankees (0) @ Detroit Tigers (5) Boxscore
"Tuesday, April 8, 2025",Minnesota Twins,Kansas City Royals,1,2,,,Minnesota Twins (1) @ Kansas City Royals (2) Boxscore
"Tuesday, April 8, 2025",Miami Marlins,New York Mets,5,10,,,Miami Marlins (5) @ New York Mets (10) Boxscore
"Tuesday, April 8, 2025",St. Louis Cardinals,Pittsburgh Pirates,5,3,,,St. Louis Cardinals (5) @ Pittsburgh Pirates (3) Boxscore
"Tuesday, April 8, 2025",Houston Astros,Seattle Mariners,2,1,,,Houston Astros (2) @ Seattle Mariners (1) Boxscore
"Tuesday, April 8, 2025",Cincinnati Reds,San Francisco Giants,1,0,,,Cincinnati Reds (1) @ San Francisco Giants (0) Boxscore
"Tuesday, April 8, 2025",Los Angeles Angels,Tampa Bay Rays,4,3,,,Los Angeles Angels (4) @ Tampa Bay Rays (3) Boxscore
"Tuesday, April 8, 2025",Los Angeles Dodgers,Washington Nationals,2,8,,,Los Angeles Dodgers (2) @ Washington Nationals (8) Boxscore
"Wednesday, April 9, 2025",Baltimore Orioles,Arizona D'Backs,0,9,,,Baltimore Orioles (0) @ Arizona D'Backs (9) Boxscore
"Wednesday, April 9, 2025",San Diego Padres,Athletics,2,1,,,San Diego Padres (2) @ Athletics (1) Boxscore
"Wednesday, April 9, 2025",Philadelphia Phillies,Atlanta Braves,4,3,,,Philadelphia Phillies (4) @ Atlanta Braves (3) Boxscore
"Wednesday, April 9, 2025",Toronto Blue Jays,Boston Red Sox,2,1,,,Toronto Blue Jays (2) @ Boston Red Sox (1) Boxscore
"Wednesday, April 9, 2025",Texas Rangers,Chicago Cubs,6,2,,,Texas Rangers (6) @ Chicago Cubs (2) Boxscore
"Wednesday, April 9, 2025",Chicago White Sox,Cleveland Guardians,2,3,,,Chicago White Sox (2) @ Cleveland Guardians (3) Boxscore
"Wednesday, April 9, 2025",Milwaukee Brewers,Colorado Rockies,17,2,,,Milwaukee Brewers (17) @ Colorado Rockies (2) Boxscore
"Wednesday, April 9, 2025",New York Yankees,Detroit Tigers,4,3,,,New York Yankees (4) @ Detroit Tigers (3) Boxscore
"Wednesday, April 9, 2025",Minnesota Twins,Kansas City Royals,4,0,,,Minnesota Twins (4) @ Kansas City Royals (0) Boxscore
"Wednesday, April 9, 2025",Miami Marlins,New York Mets,5,0,,,Miami Marlins (5) @ New York Mets (0) Boxscore
"Wednesday, April 9, 2025",St. Louis Cardinals,Pittsburgh Pirates,1,2,,,St. Louis Cardinals (1) @ Pittsburgh Pirates (2) Boxscore
"Wednesday, April 9, 2025",Houston Astros,Seattle Mariners,6,7,,,Houston Astros (6) @ Seattle Mariners (7) Boxscore
"Wednesday, April 9, 2025",Cincinnati Reds,San Francisco Giants,6,8,,,Cincinnati Reds (6) @ San Francisco Giants (8) Boxscore
"Wednesday, April 9, 2025",Los Angeles Angels,Tampa Bay Rays,4,5,,,Los Angeles Angels (4) @ Tampa Bay Rays (5) Boxscore
"Wednesday, April 9, 2025",Los Angeles Dodgers,Washington Nationals,6,5,,,Los Angeles Dodgers (6) @ Washington Nationals (5) Boxscore
"Thursday, April 10, 2025",Philadelphia Phillies,Atlanta Braves,2,4,,,Philadelphia Phillies (2) @ Atlanta Braves (4) Boxscore
"Thursday, April 10, 2025",Toronto Blue Jays,Boston Red Sox,3,4,,,Toronto Blue Jays (3) @ Boston Red Sox (4) Boxscore
"Thursday, April 10, 2025",Chicago White Sox,Cleveland Guardians,1,6,,,Chicago White Sox (1) @ Cleveland Guardians (6) Boxscore
"Thursday, April 10, 2025",Milwaukee Brewers,Colorado Rockies,2,7,,,Milwaukee Brewers (2) @ Colorado Rockies (7) Boxscore
"Thursday, April 10, 2025",Minnesota Twins,Kansas City Royals,2,3,,,Minnesota Twins (2) @ Kansas City Royals (3) Boxscore
"Thursday, April 10, 2025",Los Angeles Angels,Tampa Bay Rays,11,1,,,Los Angeles Angels (11) @ Tampa Bay Rays (1) Boxscore
"Friday, April 11, 2025",Milwaukee Brewers,Arizona D'Backs,7,0,,,Milwaukee Brewers (7) @ Arizona D'Backs (0) Boxscore
"Friday, April 11, 2025",New York Mets,Athletics,7,6,,,New York Mets (7) @ Athletics (6) Boxscore
"Friday, April 11, 2025",Boston Red Sox,Chicago White Sox,1,11,,,Boston Red Sox (1) @ Chicago White Sox (11) Boxscore
"Friday, April 11, 2025",Pittsburgh Pirates,Cincinnati Reds,3,5,,,Pittsburgh Pirates (3) @ Cincinnati Reds (5) Boxscore
"Friday, April 11, 2025",Kansas City Royals,Cleveland Guardians,0,7,,,Kansas City Royals (0) @ Cleveland Guardians (7) Boxscore
"Friday, April 11, 2025",Los Angeles Angels,Houston Astros,3,14,,,Los Angeles Angels (3) @ Houston Astros (14) Boxscore
"Friday, April 11, 2025",Chicago Cubs,Los Angeles Dodgers,0,3,,,Chicago Cubs (0) @ Los Angeles Dodgers (3) Boxscore
"Friday, April 11, 2025",Washington Nationals,Miami Marlins,7,4,,,Washington Nationals (7) @ Miami Marlins (4) Boxscore
"Friday, April 11, 2025",Detroit Tigers,Minnesota Twins,7,6,,,Detroit Tigers (7) @ Minnesota Twins (6) Boxscore
"Friday, April 11, 2025",San Francisco Giants,New York Yankees,9,1,,,San Francisco Giants (9) @ New York Yankees (1) Boxscore
"Friday, April 11, 2025",Colorado Rockies,San Diego Padres,0,8,,,Colorado Rockies (0) @ San Diego Padres (8) Boxscore
"Friday, April 11, 2025",Texas Rangers,Seattle Mariners,3,5,,,Texas Rangers (3) @ Seattle Mariners (5) Boxscore
"Friday, April 11, 2025",Philadelphia Phillies,St. Louis Cardinals,0,2,,,Philadelphia Phillies (0) @ St. Louis Cardinals (2) Boxscore
